linelist	teff	tefferr	logg	loggerr	feh	feherr	vt	vterr	loggastero	dloggastero	loggLC	dloggLC	convergence	fixteff	fixlogg	fixfeh	fixvt	outlier	weights	model	refine	EPcrit	RWcrit	ABdiffcrit
HD199289	5806	49	4.36	0.05	-0.99	0.03	0.65	0.14	4.20	0.05	4.30	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD199868	6137	28	4.35	0.05	-0.11	0.02	1.24	0.04	4.06	0.05	4.14	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200083	4872	89	4.42	0.25	-0.06	0.06	0.52	0.38	4.62	0.25	4.78	0.25	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200143	5135	58	4.48	0.18	0.04	0.03	0.97	0.12	4.58	0.18	4.72	0.18	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200349	4766	60	4.30	0.14	-0.27	0.03	0.38	0.31	4.55	0.14	4.71	0.14	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200538	6074	19	4.40	0.05	0.11	0.02	1.23	0.03	4.14	0.05	4.21	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD200633	5816	26	4.43	0.06	0.05	0.02	0.97	0.04	4.27	0.06	4.36	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD201161	4913	101	4.30	0.21	0.06	0.05	0.28	0.62	4.49	0.21	4.64	0.22	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD201422	5881	44	4.59	0.08	-0.1	0.03	1.05	0.07	4.40	0.08	4.49	0.08	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD201496	5978	32	4.39	0.04	-0.01	0.02	1.05	0.04	4.16	0.04	4.25	0.04	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD2014  	5084	61	4.40	0.15	-0.02	0.04	0.49	0.19	4.52	0.15	4.67	0.15	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202209	5991	37	4.62	0.03	-0.0	0.03	1.13	0.06	4.39	0.03	4.47	0.03	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202389	4740	75	4.40	0.21	-0.20	0.07	0.00	3.42	4.66	0.21	4.82	0.21	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202819	4852	99	4.46	0.37	-0.21	0.06	0.62	0.33	4.67	0.37	4.83	0.37	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD202871	6050	20	4.52	0.05	-0.08	0.01	1.01	0.03	4.27	0.05	4.35	0.05	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD203335	6254	34	4.47	0.06	-0.01	0.02	1.22	0.05	4.14	0.06	4.20	0.06	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD203771	4981	127	4.31	0.20	0.18	0.08	0.39	0.53	4.47	0.21	4.62	0.21	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
HD203897	5206	33	4.41	0.07	-0.13	0.02	0.47	0.11	4.48	0.07	4.62	0.07	True	False	False	False	False	allOnce	null	kurucz95	True	0.0003	0.001	0.0033
